artist,song,link,text
Michael Jackson,25 Miles,/m/michael+jackson/25+miles_20092835.html,"Twenty-five miles from home, girl  
My feet are hurtin' mighty bad  
Now I've been walkin' for three days  
And two lonely nights  
You know that I'm mighty bad  
But I got a girl waitin' for me  
That's gonna make this trip worthwhile  
You see, she's got the kind  
Of lovin' and kissin'  
Make a boy go stone wild  
  
I got to keep on walkin'  
Oh I got to walk on  
Let me tell you, y'all  
I'm so tired  
But I just can't lose my stride  
  
I got fifteen miles to go now  
And I can hear my baby callin' my name  
It's as if, as though  
I'm standin' at her front door  
And I can hear that doggone thing  
Now I'll be so glad to see my baby  
And hold her in my arms one more time  
And when I kiss her lips  
I turn backward flip  
And I forget about these feet of mine  
  
I got to keep on walkin'  
Oh I got to walk on  
Let me tell you, y'all  
I'm so tired  
But I just can't lose my stride  
  
Yeah I got to walk on  
Let me tell you, y'all  
Hope my feet don't fail me now  
I got five more miles to go  
I got nine, eight, seven  
Six, oh six  
  
I got five more miles to go now  
Over the hills just around the bend  
Although my feet are tired  
I can't lose my stride  
I got to get my baby back again  
  
I got to keep on walkin'  
I got to walk on  
Let me tell y'all  
I'm so tired now  
But I just can't lose my stride  
Oh, I got to walk on  
Let me tell you now  
I'm so tired  
But I just can't lose my stride  
I got to walk on

"
Michael Jackson,A Fool For You,/m/michael+jackson/a+fool+for+you_20815201.html,"I know you told me  
Such a long time ago  
Well, you didn't, you didn't want me around, baby, yeah  
Hey, hey, you didn't love me no more  
  
But I know something, yeah  
That makes me be  
I just want to say, yeah  
I just want to say, yeah  
  
I've been a fool for you, baby  
(I've been a fool so long)  
I've been a fool for you, baby, yeah  
  
Oh, it's not your clothes, yeah  
It's not your, it's not your walk  
It's not your easy, yeah, yeah, yeah, yeah  
It's not your, it's not your easy baby talk, yeah, yeah, oh  
  
I know something, it must be somethin', yeah  
Ooh, oh, that makes me feel,  
Oh, that makes me feel  
  
That I've been a fool for you, baby, yeah  
(I've been fool for you so long)  
I've been a, I've been a fool for you baby, yeah  
  
Did ya ever wake up in the morning?  
Just about the, just about the break of day  
You reach over, you reach over and feel the pillow, yeah, yeah, yeah  
Ooh, where your baby, where your baby used to lay, yeah, yeah  
  
Then you put, then you, then you put on your crying, yeah  
Like you never, like you never cried before, yeah, yeah  
I said, I said, I said you ever, you ever cried so loud, yeah  
You give the blues, you give the blues to the neighbor next door  
  
Ever since, ever since you were one, two, three, four, five years old  
Yeah, I've been a, I've been a fool for you baby, baby, yeah  
Way down in my, way down in my soul, yeah, yeah  
  
I know it must be, I know it must be something, yeah  
Something, yeah, that makes me feel, that makes me feel  
  
I've been a fool for you, baby, yeah  
Oh, oh, I've been a fool for you, baby  
(I've been fool for you so long)  
Ooh, oh, oh, I've been a fool for you, yeah  
(I've been fool for you so long)  
'Cause it's, 'cause it's, 'cause it's in my soul, yeah, yeah, yeah  
(I've been fool for you so long)  
  
Fool, I've been a fool, I've been a fool, I've been a cool fool, yeah  
(I've been fool for you so long)  
Oh, oh, I've been a fool for you, baby, yeah  
(I've been fool for you so long)  
Oh, oh, I've been a fool for you, baby, yeah  
(I've been fool for you so long)

"
Michael Jackson,Another Day,/m/michael+jackson/another+day_20896277.html,"My life has taken me beyond the planets and the stars  
And you're the only one that could take me this far  
I'll be forever searching for your love  
  
I walked away but I was wrong  
You're the one that makes me strong  
You're the fire that keeps me warm  
How will I get through this storm?  
  
At night, I pray before I sleep in hope of find the stars  
And you're the only one that could take me this far  
I'll be forever searching for your love  
  
I walked away but I was wrong  
You're the one that makes me strong  
You're the fire that keeps me warm  
How will I get through this storm?  
  
I walked away but I was wrong  
You're the one that makes me strong  
You're the fire that keeps me warm  
How will I get through this storm?  
  
I walked away but I was wrong  
You're the one that makes me strong  
You're the fire that keeps me warm  
How will I get through this storm?

"
Michael Jackson,Another Part Of Me,/m/michael+jackson/another+part+of+me_20092559.html,"We're takin' over  
We have the truth  
This is the mission  
To see it through  
Don't point your finger  
Not dangerous  
This is our planet  
You're one of us  
  
We're sendin' out  
A major love  
And this is our  
Message to you  
(Message to you)  
The planets are linin' up  
We're bringin' brighter days  
They're all in line  
Waitin' for you  
Can't you see?  
You're just another part of me  
  
Out from a nation  
I feel the truth  
The final message  
We'll bring to you  
There is no danger to feel the truth  
So come again  
We need you  
  
We're sendin' out  
A major love  
And this is our message to you  
(Message to you)  
The planets are linin' up  
We're bringin' brighter days  
They're all in line  
Waitin' for you  
Sho' nuff true  
  
You're just another part of me

"
Michael Jackson,Baby Be Mine,/m/michael+jackson/baby+be+mine_20092827.html,"I don't need no dreams when I'm by your side  
Every moment takes me to paradise  
Darlin', let me hold you  
Warm you in my arms and melt your fears away  
Show you all the magic that a perfect love can  
Make  
I need you night and day  
  
So baby, be mine (baby you gotta be mine)  
And girl I'll give you all I got to give  
So baby, be my girl (all the time)  
And we can share this ecstasy  
As long as we believe in love  
  
I won't give you reason to change your mind  
(i guess it's still you thrill me, baby, be mine)  
You are all the future that I desire  
Girl, I need to hold you  
Share my feelings in the heat of love's embrace  
Show you all the passion burning in my heart  
Today  
It's never gonna fade  
  
So baby, be mine (baby you gotta be mine)  
And girl I'll give you all I got to give  
So baby, be my girl (all the time)  
You're everything this world could be  
The reason that I live  
  
Won't you stay with me until the mornin' sun  
I promise you now that the dawn will be different  
Lady can't you see that heaven's just begun  
It's livin' here inside our hearts  
  
There'll be no more mountains for us to climb  
(i can't be still you thrill me, baby, be mine)  
This will be a love lasting for all time  
Girl you got to hold me  
We can touch the sky and light the darkest day  
Hold me, only you and I can make sweet love this way  
There's no more I can say  
  
So baby, be mine (baby you gotta be mine)  
And girl I'll give you all I got to give  
So baby, be my girl (all the time)  
You're everything this world could be  
The reason that I live  
  
Baby be my girl  
And girl I'll give you all I got to give  
So baby, be mine, baby, be mine  
You're everything this world could be to me  
  
C'mon, girl, c'mon girl  
So baby, be mine  
You're everything this world could be to me

"
Michael Jackson,Bad,/m/michael+jackson/bad_20092560.html,"Your butt is mine  
Gonna tell you right  
Just show your face  
In broad daylight  
I'm telling you  
On how I feel  
Gonna hurt your mind  
Don't shoot to kill  
Come on  
  
Come on  
Lay it on me  
All right  
  
I'm giving you  
On count of three  
To show your stuff  
Or let it be  
I'm telling you  
Just watch your mouth  
I know your game  
What you're about  
  
Well they say the sky's the limit  
And to me that's really true  
But my friend you have seen nothin'  
Just wait 'til I get through  
  
[Chorus]  
Because I'm bad, I'm bad come on  
You know I'm bad, I'm bad come on, you know  
You know I'm bad, I'm bad come on, you know  
And the whole world has to  
Answer right now  
Just to tell you once again  
Who's bad  
  
The word is out  
You're doin' wrong  
Gonna lock you up  
Before too long  
Your lyin' eyes  
Gonna tell you right  
So listen up  
Don't make a fight  
Your talk is cheap  
You're not a man  
You're throwin' stones  
To hide your hands  
  
But they say the sky's the limit  
And to me that's really true  
And my friends you have seen nothin'  
Just wait 'til I get through  
  
[Chorus]  
  
We can change the world tomorrow  
This could be a better place  
If you don't like what I'm sayin'  
Then won't you slap my face  
  
[Chorus]  
  
[Chorus]  
  
Who's bad?

"
Michael Jackson,Be Me 4 A Day,/m/michael+jackson/be+me+4+a+day_20979781.html,"So you wanna see in my life  
So watch but be careful  
I don't give no doubts  
But that it's painful  
  
Be me 4 a day  
So you can understand my pain  
What's it all about  
And I'm not proud  
  
But that's how I've survived  
Living in the shadows  
Walking only in night-time  
Outside  
  
Be me 4 a day  
So you can see I'm not doing well  
Sick and tired of this all  
But I'm not gonna begg  
  
Be me 4...  
Look how I live day by day  
Be me 4...  
This is how I've became of who I am  
Be me 4 a day  
So you can see by yourself  
I'm not insane  
The press is, not me my friend  
  
(I give you this by an honour of Michael) Who we all love so much

"
Michael Jackson,Beat It,/m/michael+jackson/beat+it_20092702.html,"They told him don't you ever come around here  
Don't want to see your face, you better disappear  
The fire's in their eyes and their words are really clear  
So beat it, just beat it  
  
You better run, you better do what you can  
Don't want to see no blood, don't be a macho man  
You want to be tough, better do what you can  
So beat it, but you want to be bad  
  
Just beat it, beat it, beat it, beat it  
No one wants to be defeated  
Showin' how funky and strong is your fight  
It doesn't matter who's wrong or right  
Just beat it, beat it  
Just beat it, beat it  
Just beat it, beat it  
Just beat it, beat it  
  
They're out to get you, better leave while you can  
Don't want to be a boy, you want to be a man  
You want to stay alive, better do what you can  
So beat it, just beat it  
  
You have to show them that you're really not scared  
You're playin' with your life, this ain't no truth or dare  
They'll kick you, then they beat you,  
Then they'll tell you it's fair  
So beat it, but you want to be bad  
  
Just beat it, beat it, beat it, beat it  
No one wants to be defeated  
Showin' how funky and strong is your fight  
It doesn't matter who's wrong or right  
  
Just beat it, beat it, beat it, beat it  
No one wants to be defeated  
Showin' how funky and strong is your fight  
It doesn't matter who's wrong or right  
  
Just beat it, beat it, beat it, beat it  
No one wants to be defeated  
Showin' how funky and strong is your fight  
It doesn't matter who's wrong or right  
Just beat it, beat it  
Beat it, beat it, beat it  
  
No one wants to be defeated  
Showin' how funky and strong is your fight  
It doesn't matter who's wrong or who's right  
  
Just beat it, beat it, beat it, beat it  
No one wants to be defeated  
Showin' how funky and strong is your fight  
It doesn't matter who's wrong or right  
  
Just beat it, beat it, beat it, beat it  
No one wants to be defeated  
Showin' how funky and strong is your fight  
It doesn't matter who's wrong or right  
Just beat it, beat it  
Beat it, beat it, beat it

"
Michael Jackson,Behind The Mask,/m/michael+jackson/behind+the+mask_20092836.html,"All along I had to talk about it  
But like a two edged sword,  
He touched you and it stabs  
  
All along I knew you were  
A phony girl  
You sit behind the mask  
And you control your world  
  
You sit around and I watch your face  
I try to find the truth but that's your hiding place  
You say you love me but its hard to see  
Cause when he's in your arms,  
Your throwing rocks at me  
Who do you love?  
Is it me?  
Well, I don't know  
Who do you love?  
That I want  
If you had  
If you knew me  
  
(There is nothing in your eyes)  
There is nothing in your eyes  
(But that's the way you cry)  
But that's the way you cry, girl (cry, girl)  
(All is grand, all is bright)  
All is grand, all is bright  
(You're just steady in my mind)  
  
I walk around I'm sufferin'  
In my doom  
When I come to you,  
You're sittin' in your room  
You sit around in the strangest place  
So take off the mask  
So I can see your face  
Who do you love?  
  
Is it me?  
Well, I don't know  
Who do you love?  
That I want ya  
If you had  
I know you  
  
(Heaven must be weary)  
Heaven must be weary  
(Your smile is scary)  
You got me scared, girl  
(Insincere, empty tears)  
?  
You got me scared, girl  
  
(Heaven must be weary)  
Heaven must be weary  
(Your smile is scary)  
You know ooh, babe  
(Insincere, empty tears)  
?  
Na na na  
(Where's your soul? Where did it go?)  
  
I walk around, I'm suffering in my doom  
When I come to you, you're sitting in your room  
You sit around in the strangest place  
So take off the mask, so I can see your face  
  
Who do you love?  
Is it me?  
Well, I don't know  
Who do you love?  
Gotta want ya  
If he had  
I know you  
  
Who do you love?  
Is it me?  
Well,  
I don't know  
Who do you love?  
God I want ya  
If he can  
I don't know  
I don't wanna talk about it (let's talk about it)  
I don't wanna talk about it (let's talk about it)  
I don't wanna talk about it (let's talk about it)

"
Michael Jackson,Ben,/m/michael+jackson/ben_20092592.html,"Ben, the two of us need look no more  
We both found what we were looking for  
With a friend to call my own  
I'll never be alone  
And you my friend will see  
You've got a friend in me  
(You've got a friend in me)  
  
Ben, you're always running here and there  
(Here and there)  
You feel you're not wanted anywhere  
(Anywhere)  
If you ever look behind  
And don't like what you find  
There's something you should know  
You've got a place to go  
(You've got a place to go)  
  
I used to say, ""I"" and ""me""  
Now it's ""us"", now it's ""we""  
(I used to say, ""I"" and ""me"")  
(Now it's ""us"", now it's ""we"")  
  
Ben, most people would turn you away  
I don't listen to a word they say  
They don't see you as I do  
I wish they would try to  
I'm sure they'd think again  
If they had a friend like Ben  
(A friend)  
Like Ben  
(Like Ben)  
Like Ben

"
